20200101	    0	    4
20200102	    0	    1
20200103	   40	    1
20200104	   26	    1
20200105	    6	    1
20200106	    8	    3
20200107	    1	    2
20200108	   40	    1
20200109	   46	    1
20200110	   28	    2
20200111	    0	    3
20200112	   19	    1
20200113	   -1	    3
20200114	   99	    1
20200115	   33	    2
20200116	    0	    6
20200117	    2	    1
20200118	   23	    4
20200119	    2	    4
20200120	    0	    3
20200121	    0	    3
20200122	   18	    1
20200123	   -1	    4
20200124	   -1	    1
20200125	    0	    2
20200126	    4	    5
20200127	  106	    3
20200128	   32	    3
20200129	   33	    3
20200130	   18	    5
20200131	   -1	    2
20200201	   16	    3
20200202	   62	    2
20200203	   21	    3
20200204	   54	    4
20200205	    0	    7
20200206	    0	    5
20200207	    0	    9
20200208	    7	    4
20200209	   73	    3
20200210	   39	    5
20200211	    7	    6
20200212	   -1	    6
20200213	  165	    2
20200214	    3	    4
20200215	   -1	    7
20200216	   94	    2
20200217	   23	    9
20200218	   28	    7
20200219	   42	    8
20200220	   46	    5
20200221	    0	    7
20200222	   67	    3
20200223	  291	    2
20200224	   87	    2
20200225	   16	    9
20200226	   73	    5
20200227	   51	    2
20200228	   86	    6
20200229	   17	    7
20200301	   -1	    9
20200302	   77	    4
20200303	    8	   14
20200304	    2	   11
20200305	  113	    3
20200306	   35	    5
20200307	   -1	   13
20200308	   24	    4
20200309	   37	   12
20200310	  173	    3
20200311	  116	   11
20200312	   76	   17
20200313	   56	    7
20200314	    2	   15
20200315	    0	    7
20200316	    0	   17
20200317	    0	   20
20200318	    0	   15
20200319	    0	    6
20200320	    4	    6
20200321	    0	   20
20200322	    0	   22
20200323	    0	   22
20200324	    0	   22
20200325	    0	   24
20200326	    0	   23
20200327	    0	   24
20200328	    0	   24
20200329	   -1	   13
20200330	   -1	   11
20200331	    0	   24
20200401	    0	   16
20200402	    3	   12
20200403	   12	    9
20200404	    0	   27
20200405	    0	   33
20200406	   -1	   33
20200407	    0	   31
20200408	    0	   31
20200409	    0	   30
20200410	    0	   31
20200411	    0	   33
20200412	   -1	   30
20200413	    1	   26
20200414	    0	   13
20200415	    0	   30
20200416	    0	   34
20200417	    0	   33
20200418	   15	   15
20200419	   -1	   36
20200420	    0	   37
20200421	    0	   39
20200422	    0	   40
20200423	    0	   40
20200424	    0	   36
20200425	    0	   29
20200426	    0	   35
20200427	    0	   36
20200428	   21	   11
20200429	   40	   16
20200430	    8	   27
20200501	   18	   17
20200502	   77	   18
20200503	    3	   20
20200504	    6	   33
20200505	    0	   35
20200506	    0	   40
20200507	    0	   39
20200508	    0	   38
20200509	    0	   45
20200510	    2	   21
20200511	    2	   30
20200512	    0	   21
20200513	    0	   22
20200514	    0	   28
20200515	    0	   25
20200516	    0	   25
20200517	    0	   28
20200518	    0	   43
20200519	    0	   37
20200520	    0	   32
20200521	    0	   49
20200522	    2	   22
20200523	   -1	   35
20200524	   51	   12
20200525	    0	   36
20200526	    0	   45
20200527	    0	   42
20200528	    0	   48
20200529	    0	   49
20200530	    0	   48
20200531	    0	   48
20200601	    0	   49
20200602	    0	   50
20200603	    0	   40
20200604	   77	    9
20200605	   71	   16
20200606	   21	   27
20200607	   33	   19
20200608	    2	   18
20200609	    0	   23
20200610	    0	   22
20200611	   20	   25
20200612	   39	   47
20200613	   27	   42
20200614	  174	   21
20200615	    0	   36
20200616	   -1	   22
20200617	   70	   40
20200618	   36	   32
20200619	    0	   42
20200620	    0	   32
20200621	    3	   35
20200622	   -1	   41
20200623	    0	   53
20200624	    0	   57
20200625	    0	   57
20200626	   38	   54
20200627	   13	   36
20200628	    5	   29
20200629	    0	   27
20200630	   93	   17
20200701	  121	   23
20200702	   40	   28
20200703	    1	   29
20200704	   92	   10
20200705	   38	   20
20200706	   27	   31
20200707	   24	   23
20200708	   70	    9
20200709	   82	    9
20200710	   10	   19
20200711	    1	   31
20200712	    0	   31
20200713	    0	   49
20200714	   29	   11
20200715	    8	   39
20200716	   49	   14
20200717	   -1	   18
20200718	    0	   40
20200719	   -1	   36
20200720	    0	   43
20200721	    0	   39
20200722	    0	   29
20200723	   -1	   39
20200724	   47	   18
20200725	   28	   16
20200726	   31	   32
20200727	    7	   19
20200728	   -1	   27
20200729	    0	   29
20200730	    0	   45
20200731	    0	   52
20200801	    5	   29
20200802	   -1	   34
20200803	   -1	   24
20200804	    0	   41
20200805	    0	   47
20200806	    0	   48
20200807	    0	   49
20200808	    0	   48
20200809	    0	   44
20200810	    0	   41
20200811	   -1	   41
20200812	    0	   41
20200813	   35	   32
20200814	    0	   35
20200815	    0	   30
20200816	   47	   30
20200817	    1	   23
20200818	    0	   34
20200819	   -1	   38
20200820	    9	   22
20200821	   12	   36
20200822	   44	   24
20200823	   -1	   24
20200824	   25	   19
20200825	   19	   11
20200826	   87	    8
20200827	   12	   16
20200828	   47	   19
20200829	    3	   19
20200830	   43	   12
20200831	    7	   18
20200901	    0	   20
20200902	    0	   27
20200903	  141	    7
20200904	   50	   26
20200905	   33	   24
20200906	    2	   19
20200907	    0	   28
20200908	   -1	    7
20200909	    8	    6
20200910	    0	   20
20200911	    0	   23
20200912	    0	   14
20200913	    0	   26
20200914	    0	   30
20200915	    0	   29
20200916	    0	   24
20200917	    0	   26
20200918	    0	   28
20200919	    0	   27
20200920	    0	   27
20200921	    0	   26
20200922	    0	   24
20200923	   32	   14
20200924	   28	   20
20200925	   10	   15
20200926	  214	   14
20200927	   33	    7
20200928	   20	    3
20200929	   54	    8
20200930	   -1	   15
20201001	   40	    6
20201002	   -1	   13
20201003	   64	    3
20201004	   15	   10
20201005	   18	    4
20201006	   70	    6
20201007	   33	    9
20201008	  177	    3
20201009	   13	    8
20201010	  183	    9
